primary_employer_name,alias_name,alias_type,usage_count
"FIDELITY TECHNOLOGY GROUP, LLC D/B/A FIDELITY INVESTMENTS",FIDELITY INVESTMENTS,TRADE_NAME_DBA,1655
U.S. BANK NATIONAL ASSOCIATION,U.S. BANK,TRADE_NAME_DBA,554
"THE LELAND STANFORD, JR UNIVERSITY",STANFORD UNIVERSITY,TRADE_NAME_DBA,530
BLOOMBERG L.P.,BLOOMBERG,TRADE_NAME_DBA,493
"FIDELITY TECHNOLOGY GROUP, LLC",FIDELITY INVESTMENTS,TRADE_NAME_DBA,467
WASHINGTON UNIVERSITY,WASHINGTON UNIVERSITY IN ST. LOUIS,TRADE_NAME_DBA,419
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,UNIVERSITY OF PENNSYLVANIA,TRADE_NAME_DBA,342
UNITED SERVICES AUTOMOBILE ASSOCIATION,UNITED SERVICES AUTOMOBILE ASSOCIATION DBA USAA,TRADE_NAME_DBA,269
PERSISTENT SYSTEMS LIMITED,"PERSISTENT SYSTEMS LIMITED, USA BRANCH",TRADE_NAME_DBA,269
GENERAL HOSPITAL CORPORATION,MASSACHUSETTS GENERAL HOSPITAL,TRADE_NAME_DBA,237
THE TRUSTEES OF PRINCETON UNIVERSITY,PRINCETON UNIVERSITY,TRADE_NAME_DBA,221
"RELX, INC",LEXISNEXIS USA,TRADE_NAME_DBA,221
WAYFAIR LLC,WAYFAIR,TRADE_NAME_DBA,204
UNIVERSITY OF WISCONSIN SYSTEM,UW-MADISON,TRADE_NAME_DBA,200
HENRY FORD HEALTH SYSTEM,HENRY FORD HEALTH,TRADE_NAME_DBA,197
THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,INSTITUTION OF HIGHER EDUCATION,TRADE_NAME_DBA,197
UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON SEATTLE/TACOMA/BOTHELL,TRADE_NAME_DBA,195
"THE VANGUARD GROUP, INC",VANGUARD,TRADE_NAME_DBA,187
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VIRGINIA TECH,TRADE_NAME_DBA,184
"NORDSTROM, INC",NORDSTROM,TRADE_NAME_DBA,184
NORTH CAROLINA STATE UNIVERSITY,NC STATE UNIVERSITY,TRADE_NAME_DBA,178
ROCKWELL COLLINS INC,COLLINS AEROSPACE,TRADE_NAME_DBA,174
"MANAGEMENT HEALTH SYSTEMS, LLC",MEDPRO INTERNATIONAL,TRADE_NAME_DBA,169
CHILDREN'S HOSPITAL CORPORATION,BOSTON CHILDREN'S HOSPITAL,TRADE_NAME_DBA,148
WEILL CORNELL MEDICAL COLLEGE,WEILL CORNELL MEDICINE,TRADE_NAME_DBA,147
"ARTECH, LLC",ARTECH INFORMATION SYSTEMS LLC,TRADE_NAME_DBA,136
ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,TULANE UNIVERSITY,TRADE_NAME_DBA,130
"COX AUTOMOTIVE CORPORATE SERVICES, LLC",COX AUTOMOTIVE,TRADE_NAME_DBA,130
"MEDICAL COLLEGE OF WISCONSIN, INC",MEDICAL COLLEGE OF WISCONSIN,TRADE_NAME_DBA,128
THE FLORIDA STATE UNIVERSITY,FLORIDA STATE UNIVERSITY,TRADE_NAME_DBA,125
PALAYEKAR COMPANIES INC,PALNAR,TRADE_NAME_DBA,124
WEST VIRGINIA UNIVERSITY,HIGHER EDUCATION,TRADE_NAME_DBA,124
"DPR CONSTRUCTION, A GENERAL PARTNERSHIP",DPR CONSTRUCTION,TRADE_NAME_DBA,115
MAPLEBEAR INC,INSTACART,TRADE_NAME_DBA,111
PACIFIC INVESTMENT MANAGEMENT COMPANY LLC,PIMCO,TRADE_NAME_DBA,109
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,IOWA STATE UNIVERSITY,TRADE_NAME_DBA,108
THE UNIVERSITY OF TENNESSEE,"THE UNIVERSITY OF TENNESSEE, KNOXVILLE",TRADE_NAME_DBA,106
CLEVELAND CLINIC FOUNDATION,CLEVELAND CLINIC,TRADE_NAME_DBA,104
UNIVERSITY OF COLORADO,UNIVERSITY OF COLORADO BOULDER,TRADE_NAME_DBA,100
"INDIANA UNIVERSITY HEALTH CARE ASSOCIATES, INC",INDIANA UNIVERSITY HEALTH MEDICAL GROUP,TRADE_NAME_DBA,98
"HM HEALTH SOLUTIONS, INC",ENGEN,TRADE_NAME_DBA,97
MILWAUKEE BOARD OF SCHOOL DIRECTORS,MILWAUKEE PUBLIC SCHOOLS,TRADE_NAME_DBA,96
"ST. JUDE MEDICAL, CARDIOLOGY DIVISION, INC",(AN ABBOTT LABORATORIES COMPANY),TRADE_NAME_DBA,95
ACE AMERICAN INSURANCE COMPANY,CHUBB,TRADE_NAME_DBA,94
THE METHODIST HOSPITAL RESEARCH INSTITUTE,HOUSTON METHODIST RESEARCH INSTITUTE,TRADE_NAME_DBA,89
GENESIS CORP,GENESIS10,TRADE_NAME_DBA,88
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,OUHSC,TRADE_NAME_DBA,88
TECHNOSOFT CORPORATION,APEXON,TRADE_NAME_DBA,87
IBASE OPERATIONS CORP,QUALITEST GROUP,TRADE_NAME_DBA,86
"ADVENTIST HEALTH SYSTEM/SUNBELT, INC",ADVENTHEALTH ORLANDO,TRADE_NAME_DBA,86
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,UNIVERSITY OF CALIFORNIA,TRADE_NAME_DBA,86
"PEOPLE CENTER, INC D/B/A RIPPLING",RIPPLING,TRADE_NAME_DBA,82
FMR LLC D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,81
"RICHMOND CHILDREN CENTER, INC",RICHMOND COMMUNITY SERVICES,TRADE_NAME_DBA,81
